outcome,estimator,group,point_estimate,se,ci_lower,ci_upper
earn,Manual-Lasso,manual,207.24044655254323,44.057683375966704,120.88738713564848,293.59350596943796
earn,Manual-RF,manual,260.5783274211539,14.562437806238549,232.03594932092636,289.12070552138147
earn,Manual-NN,manual,183.2622675770559,48.478171863182546,88.24505072521809,278.2794844288937
