outcome,estimator,group,point_estimate,se,ci_lower,ci_upper
employ,Auto-NN,auto,0.0727845263559396,0.0165169039295895,0.0404113946539441,0.105157658057935
employ,Auto-Lasso,auto,0.0302213099608835,0.0058467408853042,0.0187616978256871,0.0416809220960799
employ,Auto-RF,auto,0.0608248762207465,0.0087230862933498,0.0437276270857808,0.0779221253557122
