e,xsexf,xhsdip,xchld05,single,grd1720,grade16,grd1315,grade12,grde911,white,hisp,black,age,paid1,paid2,paid3,paid4,tcpp1,tcpp2,tcpp3,tcpp4,tcpp5,tcpp6,tcpp7,tcpp8,tcpp9,tcpp10,tcprn1,tcprn2,tcprn3,tcprn4,tcprn5,tcprn6,tcprn7,tcprn8,tcprn9,tcprn10,employ1,employ2,employ3,employ4,employ5,employ6,employ7,employ8,employ9,employ10,employ11,employ12,employ13,employ14,employ15,employ16,employ17,employ18,employ19,employ20,employ21,employ22,employ23,employ24,employ25,employ26,employ27,employ28,employ29,employ30,employ31,employ32,employ33,employ34,employ35,employ36,earn1,earn2,earn3,earn4,earn5,earn6,earn7,earn8,earn9,earn10,earn11,earn12,earn13,earn14,earn15,earn16,earn17,earn18,earn19,earn20,earn21,earn22,earn23,earn24,earn25,earn26,earn27,earn28,earn29,earn30,earn31,earn32,earn33,earn34,earn35,earn36,Y_employ,Y_earn,aid1,aid2,aid3,aid4,aid5,aid6,aid7,aid8,aid9,aid10,aid11,aid12,aid13,aid14,aid15,aid16,aid17,aid18,aid19,aid20,aid21,aid22,aid23,aid24,aid25,aid26,aid27,aid28,aid29,aid30,aid31,aid32,aid33,aid34,aid35,aid36
1,0,0,0,1,0,0,0,0,1,1,0,0,32,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,901.7683715820312,471.6846008300781,0.0,0.0,1123.856689453125,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5040.04052734375,7783.12451171875,0.0,0.0,0.0,1614.893798828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,401.05718994140625,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,0,0,0,1,0,0,0,1,28,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.0,0.0,3816.116455078125,4039.800537109375,5236.966796875,5688.4130859375,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,0,1,1,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.80697631835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.38528823852539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,3.5331184599134655,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,1,0,0,0,0,1,37,1,0,0,0,1,1,0,0,0,1,1,0,0,0,5421.79931640625,1759.7353515625,0.0,0.0,0.0,2251.809326171875,1090.848876953125,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1348.561767578125,3724.569580078125,4870.41455078125,5768.21435546875,5414.55615234375,5955.84228515625,8238.4990234375,5736.00927734375,7431.49462890625,6626.2197265625,5421.25,1399.6824951171875,4458.03271484375,6704.67626953125,6024.71630859375,7782.77294921875,5235.52587890625,8185.095703125,4165.1787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4325.314453125,5906.234375,3125.21142578125,0.0,0.0,0.0,0.6111111111111112,3273.5575731065537,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,1,23,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.7885437011719,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0,1,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,1,43,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2202.012451171875,2641.048583984375,3054.708740234375,2779.3828125,2635.4921875,3375.377685546875,2486.9052734375,3537.291748046875,1313.1396484375,2946.29931640625,3119.94775390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7508544921875,622.8084716796875,0.0,0.0,0.0,0.0,0.0,575.9046020507812,481.632568359375,1382.8843994140625,2089.6083984375,1346.78662109375,0.5,1018.9161699083116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1,1,1,0,1,0,0,0,1,0,1,0,0,32,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,113.49542236328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0,1023.5042114257812,2681.297607421875,781.6962890625,432.5764465332031,2468.687255859375,2707.733642578125,2706.683837890625,3384.78125,2390.801513671875,42.67688751220703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.5131530761719,3389.922607421875,3913.012939453125,4125.232421875,4206.48583984375,0.4166666666666667,962.2668306562636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,0,0,1,31,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.278076171875,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1473.4920654296875,2474.79736328125,2650.86376953125,2838.76904296875,3514.6533203125,2874.975830078125,1255.9698486328125,3385.512939453125,3438.594482421875,2550.612060546875,2473.1240234375,2924.089599609375,2743.5732421875,2377.19873046875,2656.937255859375,2990.875,4227.6611328125,4130.7490234375,3580.847412109375,3414.51025390625,3669.88134765625,3325.109130859375,3518.545654296875,3497.16748046875,3529.634765625,4482.13037109375,0.0,0.0,833.6636352539062,1940.531005859375,0.7777777777777778,2299.290827433268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
