outcome,quarter,estimator,group,point_estimate,se,ci_lower,ci_upper
employ,6,Benchmark,baseline,0.063,0.006,0.05124,0.07476
employ,6,Observational,baseline,0.117,0.01,0.09740000000000001,0.1366
employ,6,Auto-Lasso,auto,0.0302,0.005846632503651954,0.01874060029284217,0.04165939970715783
employ,6,Auto-RF,auto,0.0552,0.009199327757753546,0.03716931759480305,0.07323068240519695
employ,6,Auto-NN,auto,0.056,0.015591983012827472,0.025439713294858158,0.08656028670514185
employ,6,Manual-Lasso,manual,0.06097250851139416,0.005084190591206287,0.05100749495262984,0.07093752207015848
employ,6,Manual-RF,manual,0.05869479300500381,0.005843940771029805,0.047240669093785395,0.07014891691622223
employ,6,Manual-NN,manual,-0.3072618416345775,0.56914243036562,-1.4227810051511924,0.8082573218820376
