outcome,estimator,group,point_estimate,se,ci_lower,ci_upper
employ,Benchmark,baseline,0.063,0.006,0.05124,0.07476
employ,Observational,baseline,0.117,0.01,0.09740000000000001,0.1366
employ,Manual-Lasso,manual,0.0593233512726555,0.006261181794677,0.0470514349550885,0.0715952675902225
employ,Manual-RF,manual,0.0613302618012192,0.0064517983956079,0.0486847369458275,0.0739757866566108
employ,Manual-NN,manual,-0.3151161177295364,0.7075277098916881,-1.7018704291172453,1.0716381936581725
employ,Auto-NN,auto,0.0727845263559396,0.0165169039295895,0.0404113946539441,0.105157658057935
employ,Auto-Lasso,auto,0.0302213099608835,0.0058467408853042,0.0187616978256871,0.0416809220960799
employ,Auto-RF,auto,0.0608248762207465,0.0087230862933498,0.0437276270857808,0.0779221253557122
