outcome,quarter,estimator,group,point_estimate,se,ci_lower,ci_upper
earn,6,Benchmark,baseline,248.0,31.5,186.26,309.74
earn,6,Observational,baseline,327.1,36.6,255.36400000000003,398.836
earn,6,Auto-Lasso,auto,203.8262,32.101513924280574,140.90723270841008,266.74516729158995
earn,6,Auto-RF,auto,240.6666,43.2464846966265,155.90348999461204,325.42971000538796
earn,6,Auto-NN,auto,263.7033,68.90268178266591,128.65404370597483,398.7525562940252
earn,6,Manual-Lasso,manual,214.34229872091177,35.30930837244898,145.1360543109118,283.54854313091175
earn,6,Manual-RF,manual,291.5446832045578,18.046278043367355,256.1739782395578,326.91538816955784
earn,6,Manual-NN,manual,192.7536925036367,38.36598547704081,117.55636096863671,267.95102403863666
