outcome,quarter,estimator,group,point_estimate,se,ci_lower,ci_upper
employ,6,Benchmark,baseline,0.063,0.006,0.05124,0.07476
employ,6,Observational,baseline,0.117,0.01,0.09740000000000001,0.1366
employ,6,Manual-Lasso,manual,0.0593233512726555,0.006261181794677,0.0470514349550885,0.0715952675902225
employ,6,Manual-RF,manual,0.0605051062708585,0.0063962425446586,0.0479684708833275,0.0730417416583895
employ,6,Manual-NN,manual,-0.1310330552957787,0.7042332857746118,-1.5113302954140178,1.2492641848224602
employ,6,Auto-NN,auto,0.0727845263559396,0.0165169039295895,0.0404113946539441,0.105157658057935
employ,6,Auto-Lasso,auto,0.0302213099608835,0.0058467408853042,0.0187616978256871,0.0416809220960799
employ,6,Auto-RF,auto,0.0608248762207465,0.0087230862933498,0.0437276270857808,0.0779221253557122
