outcome,quarter,estimator,group,point_estimate,se,ci_lower,ci_upper
earn,6,Benchmark,baseline,248.0,31.5,186.26,309.74
earn,6,Observational,baseline,327.1,36.6,255.36400000000003,398.836
earn,6,Manual-Lasso,manual,207.24044655254323,44.057683375966704,120.88738713564848,293.59350596943796
earn,6,Manual-RF,manual,260.5783274211539,14.562437806238549,232.03594932092636,289.12070552138147
earn,6,Manual-NN,manual,186.71513646036024,47.64301261682001,93.33483173139304,280.09544118932746
earn,6,Auto-NN,auto,212.26255377704044,68.99483352125776,77.03268007537523,347.4924274787056
earn,6,Auto-Lasso,auto,203.82618719328255,32.10151211135083,140.9072234550349,266.7451509315302
earn,6,Auto-RF,auto,244.81949973465217,40.170090129374145,166.08612308107882,323.55287638822546
