config,label,N,method,theta_true,iterations,bias,rmse,coverage,ci_length
linear_truncated_adv,Linear DGP + truncated adversarial,2000,Net-Net,-2.0,500,0.0386,0.2938,0.938,0.9467
linear_logistic,Linear DGP + logistic,500,Oracle,-2.0,500,0.0128,0.4234,0.948,1.1934
linear_logistic,Linear DGP + logistic,500,Bradic,-2.0,500,0.0255,0.6438,0.922,1.4612
linear_logistic,Linear DGP + logistic,500,LASSO-LASSO,-2.0,500,0.0239,0.2406,0.922,0.8725
linear_logistic,Linear DGP + logistic,500,RF-RF,-2.0,500,0.023,0.2569,0.856,0.7001
linear_logistic,Linear DGP + logistic,500,Net-Net,-2.0,500,-0.3334,0.4178,0.634,0.846
linear_logistic,Linear DGP + logistic,1000,Oracle,-2.0,500,-0.0346,0.4175,0.966,0.9579
linear_logistic,Linear DGP + logistic,1000,Bradic,-2.0,500,-0.019,0.3792,0.93,0.9676
linear_logistic,Linear DGP + logistic,1000,LASSO-LASSO,-2.0,500,-0.0053,0.1607,0.934,0.6052
linear_logistic,Linear DGP + logistic,1000,RF-RF,-2.0,500,-0.0004,0.1746,0.864,0.5044
linear_logistic,Linear DGP + logistic,1000,Net-Net,-2.0,500,-0.1135,0.2331,0.876,0.7358
linear_logistic,Linear DGP + logistic,2000,Oracle,-2.0,500,0.0294,0.6838,0.958,0.782
linear_logistic,Linear DGP + logistic,2000,Bradic,-2.0,500,0.0062,0.246,0.934,0.6739
linear_logistic,Linear DGP + logistic,2000,LASSO-LASSO,-2.0,500,0.0067,0.1078,0.944,0.4262
linear_logistic,Linear DGP + logistic,2000,RF-RF,-2.0,500,0.0116,0.1382,0.844,0.3658
linear_logistic,Linear DGP + logistic,2000,Net-Net,-2.0,500,-0.0423,0.2296,0.95,0.8127
