method,ATT,SE
"OLS YDiff on Z, X1, and D",-0.057107693837179965,0.019556635855663897
Caetano,-0.0571,0.0195
LASSO,-0.05519929155707359,0.020312253385782242
RF,-0.04859186336398125,0.019988413900136948
Net,-0.05635157972574234,0.020784201100468636
