method,ATT,SE
"OLS YDiff on Z, X1, and D",-0.04545891846187813,0.019760203584134058
Caetano,tensor(-0.0455),tensor(0.0197)
LASSO,-0.04623876512050629,0.024664586409926414
RF,-0.04426537826657295,0.024793505668640137
Net,-0.05066133290529251,0.02563207596540451
