method,ATT,SE
"OLS YDiff on Z, X1, and D",-0.07635406562761107,0.022960524178196603
Caetano,-0.0764,0.0229
LASSO,-0.07030219584703445,0.02390453964471817
RF,-0.05952504277229309,0.023086171597242355
Net,-0.061735473573207855,0.024600300937891006
