method,ATT,SE
"OLS YDiff on Z, X1, and D",-0.024542009184717366,0.019002468725283793
Caetano,-0.0245,0.0190
LASSO,-0.03168977051973343,0.022793173789978027
RF,-0.02513204887509346,0.02233319729566574
Net,-0.03535734489560127,0.02314804494380951
