method_id,ATT,SE,group,label
static_ols,-0.0571076938371861,0.019556635855666,Static,OLS
static_manual_linear,-0.0497,0.0212,Static,Manual-Linear
static_auto_rf,-0.051,0.02,Static,Auto-RF
static_auto_lasso,-0.052,0.021,Static,Auto-Lasso
static_auto_nn,-0.052,0.02,Static,Auto-NN
dynamic_ols,,,Dynamic,OLS
dynamic_auto_lasso,-0.0551982000470161,0.0203122533857822,Dynamic,Auto-Lasso
dynamic_auto_rf,-0.0488628596067428,0.0199504774063825,Dynamic,Auto-RF
dynamic_auto_nn,-0.0563515834510326,0.0207842011004686,Dynamic,Auto-NN
