method_id,ATT,SE,group,label
static_ols,-0.045458918461881,0.019760203584136,Static,OLS
static_manual_linear,-0.0247,0.0217,Static,Manual-Linear
static_auto_rf,-0.049,0.02,Static,Auto-RF
static_auto_lasso,-0.045,0.021,Static,Auto-Lasso
static_auto_nn,-0.046,0.02,Static,Auto-NN
dynamic_ols,,,Dynamic,OLS
dynamic_auto_lasso,-0.0462390109896659,0.0246644951403141,Dynamic,Auto-Lasso
dynamic_auto_rf,-0.0447149537503719,0.0246508251875638,Dynamic,Auto-RF
dynamic_auto_nn,-0.0506613217294216,0.0256320759654045,Dynamic,Auto-NN
